row_index,hhid2,baseline_high,n_specifications,n_high,strict_robust_high,high_in_all_available,never_high,switcher,n_baseline_switches,switch_drivers,switch__equal_indicator_weights,switch__flood_binary_omitted,switch__flood_depth_omitted,switch__literacy_direction_reversed,switch__literacy_omitted,switch__loan_burden_direction,switch__loan_omitted,switch__robust_p01_p99_bounds,switch__zero_meal_households_excluded,switch__zero_meals_as_missing
0,,True,11,5,False,False,False,True,6,flood_binary_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,False,True,False,True,True,True,True,True,False,False
1,1,False,11,1,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
2,10.1,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
3,10.2,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
4,100.1,True,11,7,False,False,False,True,4,flood_binary_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted,False,True,False,True,False,True,True,False,False,False
5,1000,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
6,1001,True,11,9,False,False,False,True,2,equal_indicator_weights|flood_binary_omitted,True,True,False,False,False,False,False,False,False,False
7,1002,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
8,1003,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
9,1005,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
10,1006,True,11,7,False,False,False,True,4,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|literacy_omitted,True,True,False,True,True,False,False,False,False,False
11,1007.1,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
12,1007.2,True,11,11,True,True,False,False,0,,False,False,False,False,False,False,False,False,False,False
13,1008,True,11,8,False,False,False,True,3,flood_binary_omitted|loan_burden_direction|loan_omitted,False,True,False,False,False,True,True,False,False,False
14,1009,True,11,10,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
15,101,False,11,6,False,False,False,True,6,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,False,False,True,True,True,True,True,True,False,False
16,1010,False,11,3,False,False,False,True,3,equal_indicator_weights|flood_binary_omitted|robust_p01_p99_bounds,True,True,False,False,False,False,False,True,False,False
17,1011,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
18,1012,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
19,1013,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
20,1014,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
21,1015,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
22,1016,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
23,1017,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
24,1019,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
25,102,True,11,11,True,True,False,False,0,,False,False,False,False,False,False,False,False,False,False
26,1020,False,11,2,False,False,False,True,2,equal_indicator_weights|flood_binary_omitted,True,True,False,False,False,False,False,False,False,False
27,1021,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
28,1022,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
29,1023,False,11,1,False,False,False,True,1,flood_binary_omitted,False,True,False,False,False,False,False,False,False,False
30,1024,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
31,1025,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
32,1027,True,11,11,True,True,False,False,0,,False,False,False,False,False,False,False,False,False,False
33,1028,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
34,1029,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
35,103,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
36,1030,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
37,1031,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
38,1032,True,11,10,False,False,False,True,1,flood_binary_omitted,False,True,False,False,False,False,False,False,False,False
39,1033,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
40,1034,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
41,1035.1,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
42,1035.2,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
43,1035.3,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
44,1036,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
45,1037,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
46,1038,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
47,1039,True,11,9,False,False,False,True,2,equal_indicator_weights|flood_binary_omitted,True,True,False,False,False,False,False,False,False,False
48,104,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
49,1040.1,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
50,1040.2,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
51,1041,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
52,1042,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
53,1043,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
54,1044,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
55,1045,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
56,1046,False,11,1,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
57,1047,True,11,5,False,False,False,True,6,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,False,False,True,True,True,True,True,True,False,False
58,1048,True,11,9,False,False,False,True,2,equal_indicator_weights|flood_binary_omitted,True,True,False,False,False,False,False,False,False,False
59,1049,True,11,8,False,False,False,True,3,flood_binary_omitted|loan_burden_direction|loan_omitted,False,True,False,False,False,True,True,False,False,False
60,105,False,11,2,False,False,False,True,2,literacy_direction_reversed|loan_burden_direction,False,False,False,True,False,True,False,False,False,False
61,1050,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
62,1051,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
63,1052,False,11,1,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
64,1053,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
65,1054,True,11,10,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
66,1055,True,11,11,True,True,False,False,0,,False,False,False,False,False,False,False,False,False,False
67,1056,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
68,1057,True,11,7,False,False,False,True,4,equal_indicator_weights|flood_binary_omitted|loan_burden_direction|loan_omitted,True,True,False,False,False,True,True,False,False,False
69,1058,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
70,1059,False,11,1,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
71,106,True,11,10,False,False,False,True,1,flood_binary_omitted,False,True,False,False,False,False,False,False,False,False
72,1061,False,11,3,False,False,False,True,3,literacy_direction_reversed|loan_burden_direction|loan_omitted,False,False,False,True,False,True,True,False,False,False
73,1062,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
74,1063,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
75,1064,False,11,4,False,False,False,True,4,literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,False,False,False,True,True,True,True,False,False,False
76,1065,False,11,3,False,False,False,True,3,literacy_direction_reversed|loan_burden_direction|loan_omitted,False,False,False,True,False,True,True,False,False,False
77,1066,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
78,1067,True,11,11,True,True,False,False,0,,False,False,False,False,False,False,False,False,False,False
79,1068,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
80,1069,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
81,107,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
82,1070,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
83,1071,True,11,6,False,False,False,True,5,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,False,False,True,True,True,True,True,False,False,False
84,1072,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
85,1074,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
86,1075,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
87,1076,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
88,1079.1,False,11,1,False,False,False,True,1,equal_indicator_weights,True,False,False,False,False,False,False,False,False,False
89,1079.2,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
90,1079.3,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
91,108,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
92,1080,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
93,1081,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
94,1082,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
95,1083,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
96,1085,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
97,1086,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
98,1087,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
99,1088,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
100,1089,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
101,109,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
102,1090,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
103,1091,False,11,2,False,False,False,True,2,loan_burden_direction|loan_omitted,False,False,False,False,False,True,True,False,False,False
104,1092,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
105,1093.1,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
106,1093.2,False,11,2,False,False,False,True,2,loan_burden_direction|robust_p01_p99_bounds,False,False,False,False,False,True,False,True,False,False
107,1094,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
108,1096,False,11,3,False,False,False,True,3,literacy_direction_reversed|loan_burden_direction|robust_p01_p99_bounds,False,False,False,True,False,True,False,True,False,False
109,1097,False,11,1,False,False,False,True,1,loan_burden_direction,False,False,False,False,False,True,False,False,False,False
110,1098,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
111,1099,False,11,3,False,False,False,True,3,literacy_direction_reversed|loan_burden_direction|loan_omitted,False,False,False,True,False,True,True,False,False,False
112,11.1,True,11,8,False,False,False,True,3,equal_indicator_weights|flood_binary_omitted|robust_p01_p99_bounds,True,True,False,False,False,False,False,True,False,False
113,11.2,False,11,0,False,False,True,False,0,,False,False,False,False,False,False,False,False,False,False
