baseline_high,switch_drivers,n_records
False,flood_binary_omitted,302
True,loan_burden_direction,244
False,equal_indicator_weights|flood_binary_omitted,180
False,loan_burden_direction,153
True,flood_binary_omitted,127
True,equal_indicator_weights|flood_binary_omitted,124
True,literacy_direction_reversed,63
True,loan_burden_direction|loan_omitted,62
False,literacy_direction_reversed|loan_burden_direction|loan_omitted,58
True,flood_binary_omitted|loan_burden_direction|loan_omitted,51
True,flood_binary_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,47
False,loan_burden_direction|robust_p01_p99_bounds,45
False,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,43
True,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|literacy_omitted,37
True,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,36
True,equal_indicator_weights|flood_binary_omitted|robust_p01_p99_bounds,35
True,flood_binary_omitted|literacy_direction_reversed,33
False,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|literacy_omitted,32
False,literacy_direction_reversed|loan_burden_direction,29
True,equal_indicator_weights,29
False,equal_indicator_weights|flood_binary_omitted|loan_burden_direction|loan_omitted,28
False,loan_burden_direction|loan_omitted,26
False,literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,25
False,robust_p01_p99_bounds,23
True,flood_binary_omitted|literacy_direction_reversed|literacy_omitted|robust_p01_p99_bounds,23
False,literacy_direction_reversed|loan_burden_direction|robust_p01_p99_bounds,23
True,equal_indicator_weights|flood_binary_omitted|flood_depth_omitted,20
True,flood_binary_omitted|robust_p01_p99_bounds,19
True,equal_indicator_weights|flood_binary_omitted|loan_burden_direction|loan_omitted,19
True,flood_binary_omitted|literacy_direction_reversed|literacy_omitted,19
False,literacy_direction_reversed|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,18
True,literacy_direction_reversed|loan_burden_direction,17
False,literacy_direction_reversed,17
False,flood_binary_omitted|loan_burden_direction,15
False,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,14
False,literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,14
False,loan_burden_direction|loan_omitted|robust_p01_p99_bounds,14
True,flood_depth_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted,13
True,literacy_direction_reversed|literacy_omitted,13
False,equal_indicator_weights|flood_binary_omitted|literacy_omitted,9
True,flood_depth_omitted|loan_burden_direction|loan_omitted,9
False,flood_depth_omitted|loan_burden_direction|loan_omitted,9
False,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|literacy_omitted|robust_p01_p99_bounds,8
True,literacy_direction_reversed|loan_burden_direction|loan_omitted,8
False,literacy_direction_reversed|literacy_omitted,8
False,flood_depth_omitted|literacy_direction_reversed|literacy_omitted,8
False,equal_indicator_weights|flood_binary_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,8
True,flood_depth_omitted|literacy_direction_reversed|literacy_omitted,8
True,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|literacy_omitted|robust_p01_p99_bounds,7
True,literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,7
False,literacy_direction_reversed|robust_p01_p99_bounds,6
False,flood_depth_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted,6
False,equal_indicator_weights|flood_binary_omitted|robust_p01_p99_bounds,6
False,flood_depth_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,6
True,flood_binary_omitted|literacy_direction_reversed|robust_p01_p99_bounds,6
True,equal_indicator_weights|flood_depth_omitted,6
False,flood_depth_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,5
False,equal_indicator_weights|flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,5
False,flood_binary_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,5
True,flood_binary_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted,5
True,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,5
True,flood_binary_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,5
True,equal_indicator_weights|flood_binary_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,5
True,equal_indicator_weights|flood_binary_omitted|flood_depth_omitted|literacy_direction_reversed|literacy_omitted,4
True,literacy_direction_reversed|literacy_omitted|loan_burden_direction|robust_p01_p99_bounds,4
True,loan_burden_direction|loan_omitted|robust_p01_p99_bounds,4
True,literacy_direction_reversed|literacy_omitted|loan_burden_direction,4
False,equal_indicator_weights|literacy_direction_reversed|literacy_omitted,4
False,equal_indicator_weights|flood_depth_omitted|loan_burden_direction|loan_omitted,4
False,equal_indicator_weights|flood_depth_omitted|literacy_direction_reversed|literacy_omitted,4
False,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|robust_p01_p99_bounds,4
True,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,4
False,equal_indicator_weights,3
True,flood_depth_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,3
True,flood_depth_omitted,3
True,literacy_direction_reversed|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,3
False,flood_binary_omitted|robust_p01_p99_bounds,3
False,flood_binary_omitted|loan_burden_direction|loan_omitted,3
False,equal_indicator_weights|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,2
False,equal_indicator_weights|flood_binary_omitted|zero_meal_households_excluded|zero_meals_as_missing,2
False,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds|zero_meal_households_excluded|zero_meals_as_missing,2
False,equal_indicator_weights|loan_burden_direction|loan_omitted,2
False,equal_indicator_weights|flood_binary_omitted|loan_burden_direction,2
False,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|zero_meals_as_missing,2
True,zero_meals_as_missing,2
True,literacy_direction_reversed|loan_burden_direction|zero_meals_as_missing,2
True,flood_binary_omitted|literacy_direction_reversed|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,2
True,flood_binary_omitted|flood_depth_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,2
True,flood_binary_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds,2
True,literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,2
False,flood_depth_omitted|literacy_direction_reversed|loan_burden_direction|robust_p01_p99_bounds,2
False,loan_burden_direction|loan_omitted|robust_p01_p99_bounds|zero_meal_households_excluded|zero_meals_as_missing,1
False,flood_depth_omitted|loan_burden_direction,1
False,flood_depth_omitted|literacy_direction_reversed|loan_burden_direction,1
False,flood_depth_omitted|literacy_direction_reversed|robust_p01_p99_bounds,1
False,flood_depth_omitted|literacy_direction_reversed,1
False,flood_binary_omitted|loan_burden_direction|robust_p01_p99_bounds,1
False,flood_binary_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,1
True,equal_indicator_weights|flood_binary_omitted|literacy_direction_reversed|robust_p01_p99_bounds,1
True,flood_binary_omitted|flood_depth_omitted|loan_burden_direction|loan_omitted,1
True,flood_binary_omitted|flood_depth_omitted|literacy_direction_reversed|literacy_omitted,1
True,equal_indicator_weights|flood_depth_omitted|loan_burden_direction|loan_omitted,1
True,equal_indicator_weights|flood_binary_omitted|robust_p01_p99_bounds|zero_meals_as_missing,1
True,equal_indicator_weights|literacy_direction_reversed,1
True,equal_indicator_weights|literacy_direction_reversed|literacy_omitted,1
True,equal_indicator_weights|loan_burden_direction|loan_omitted,1
True,flood_binary_omitted|flood_depth_omitted|literacy_direction_reversed,1
True,equal_indicator_weights|flood_binary_omitted|flood_depth_omitted|literacy_omitted,1
True,equal_indicator_weights|flood_binary_omitted|flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted,1
True,equal_indicator_weights|flood_binary_omitted|flood_depth_omitted|loan_burden_direction|loan_omitted,1
True,flood_binary_omitted|loan_burden_direction,1
True,flood_depth_omitted|literacy_direction_reversed|literacy_omitted|loan_burden_direction|loan_omitted|robust_p01_p99_bounds|zero_meals_as_missing,1
True,flood_depth_omitted|literacy_direction_reversed,1
True,loan_burden_direction|loan_omitted|zero_meals_as_missing,1
True,robust_p01_p99_bounds,1
