indicator,normalized_column,dimension,constructed,raw_direction_vs_vulnerability,normalization_formula,norm_min_used,norm_max_used,n_missing,n_observed,raw_mean,raw_std,norm_mean,norm_std,norm_min_observed,norm_max_observed,is_constant,description,note
flood_affected,flood_affected_norm,Exposure,False,higher = MORE vulnerable,(x - min) / (max - min),0.0,1.0,0,5605,0.5705619982158787,0.4950401265838939,0.5705619982158787,0.4950401265838939,0.0,1.0,False,Household reported being affected by flooding (0/1).,
flood_depth_ft_mean,flood_depth_ft_mean_norm,Exposure,False,higher = MORE vulnerable,(x - min) / (max - min),0.0,21.0,0,5605,1.3109572515963408,1.877391929492985,0.06242653579030194,0.08939961569014214,0.0,1.0,False,Mean reported flood depth on household plots (feet).,
seasonal_wind_avg,seasonal_wind_avg_norm,Exposure,True,higher = MORE vulnerable,(x - min) / (max - min),1.0902185867895546,3.8285237583205323,0,5605,2.7817682449060506,0.35676259509707703,0.6177359907518108,0.13028591510040213,0.0,1.0,False,Mean district wind speed across aus/aman/boro seasons.,
seasonal_evapotranspiration_avg,seasonal_evapotranspiration_avg_norm,Exposure,True,higher = MORE vulnerable,(x - min) / (max - min),2.801520993343574,4.771869994879673,0,5605,3.9000459305270647,0.34953402599906497,0.5575281010252868,0.17739701226867208,0.0,1.0,False,Mean district evapotranspiration across aus/aman/boro.,
agricultural_occupation_dependence,agricultural_occupation_dependence_norm,Sensitivity,True,higher = MORE vulnerable,(x - min) / (max - min),0.0,6.0,0,5605,0.4472792149866191,0.6071297492973772,0.07454653583110317,0.10118829154956287,0.0,1.0,False,Members in own-farm or agricultural-labour occupations.,
dependency_ratio,dependency_ratio_norm,Sensitivity,False,higher = MORE vulnerable,(x - min) / (max - min),0.0,6.0,0,5605,0.8577175282839868,0.8077241880550479,0.14295292138066445,0.13462069800917464,0.0,1.0,False,Dependents (under 15 / over 59) per working-age member.,
hh_size,hh_size_norm,Sensitivity,False,higher = MORE vulnerable,(x - min) / (max - min),1.0,18.0,0,5605,4.127921498661909,1.7418762336202718,0.18399538227422993,0.10246330786001599,0.0,1.0,False,Number of household members.,
meals_per_person_week,meals_per_person_week_norm,Sensitivity,True,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,38.0,0,5605,7.542456886778133,2.1113162662721208,0.8015142924532069,0.055560954375582124,0.0,1.0,False,Person-meal-days per member over 7 days; fewer = worse.,
income_per_capita_monthly,income_per_capita_monthly_norm,Adaptive Capacity,False,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,12500.0,0,5605,2512.608559988,2355.4036913282603,0.7989913152009601,0.1884322953062608,0.0,1.0,False,Monthly income per household member.,
mean_edu_years_adults,mean_edu_years_adults_norm,Adaptive Capacity,False,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,17.0,0,5605,4.472380926636056,3.093249580657375,0.7369187690214085,0.18195585768572792,0.0,1.0,False,Mean completed years of schooling among adults 15+.,
adult_illiteracy_rate,adult_illiteracy_rate_norm,Adaptive Capacity,True,higher = MORE vulnerable,(x - min) / (max - min),0.0,1.0,0,5605,0.1667372849174812,0.2749380335950824,0.1667372849174812,0.2749380335950824,0.0,1.0,False,"Share of adults 15+ recorded as illiterate (v2: the inverted adult_literacy_rate, forward-normalized).",
livelihood_diversity,livelihood_diversity_norm,Adaptive Capacity,False,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,4.0,0,5605,0.7245316681534344,0.6314781182123669,0.8188670829616413,0.1578695295530917,0.0,1.0,False,Count of distinct livelihood activities.,
any_nonfarm_agri_work,any_nonfarm_agri_work_norm,Adaptive Capacity,False,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,1.0,0,5605,0.21784121320249777,0.4128157257927178,0.7821587867975023,0.4128157257927178,0.0,1.0,False,Any non-farm / non-agricultural work in household (0/1).,
land_cultivable_decimal,land_cultivable_decimal_norm,Adaptive Capacity,False,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,495.0,0,5605,65.74244834968778,93.05835801639616,0.8671869730309337,0.1879966828614064,0.0,1.0,False,Cultivable land in decimals; asset / buffer.,
has_current_loan_binary,has_current_loan_binary_norm,Adaptive Capacity,True,higher = LESS vulnerable (reverse-normalized),(max - x) / (max - min),0.0,1.0,0,5605,0.704014272970562,0.45652531173316396,0.295985727029438,0.45652531173316396,0.0,1.0,False,Holds a current loan (1/0); proxy for credit access.,
