hhid2,a10,a11,a13,a14,a15,a23,flood_affected,flood_depth_ft_mean,clim_aus_wind_avg,clim_aman_wind_avg,clim_boro_wind_avg,clim_aus_evapotrans_avg,clim_aman_evapotrans_avg,clim_boro_evapotrans_avg,n_occ_agri_own,n_occ_agri_labour,dependency_ratio,hh_size,mealdays_total_7d,income_per_capita_monthly,mean_edu_years_adults,adult_literacy_rate,livelihood_diversity,any_nonfarm_agri_work,land_cultivable_decimal,has_current_loan,agricultural_occupation_dependence,meals_per_person_week,seasonal_wind_avg,seasonal_evapotranspiration_avg,has_current_loan_binary,adult_illiteracy_rate,flood_affected_norm,flood_depth_ft_mean_norm,seasonal_wind_avg_norm,seasonal_evapotranspiration_avg_norm,agricultural_occupation_dependence_norm,dependency_ratio_norm,hh_size_norm,meals_per_person_week_norm,income_per_capita_monthly_norm,mean_edu_years_adults_norm,adult_illiteracy_rate_norm,livelihood_diversity_norm,any_nonfarm_agri_work_norm,land_cultivable_decimal_norm,has_current_loan_binary_norm,exposure_score,exposure_n_indicators,sensitivity_score,sensitivity_n_indicators,adaptive_capacity_vulnerability_score,adaptive_capacity_vulnerability_n_indicators,LVI,cluster_kmeans,cluster_ward,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,cluster_name
,1.0,1.0,1.0,1.0,1.0,3.0,1,0.6666666666666666,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,1.0,0.0,0.5,3.0,52.0,7281.333333333333,4.0,0.3333333333333333,1.0,0,92.0,2.0,1.0,17.333333333333332,2.993304608294931,3.632986994367639,0.0,0.3333333333333333,1.0,0.0317460317460317,0.6949868266294685,0.421989201088664,0.1666666666666666,0.0833333333333333,0.1176470588235294,0.543859649122807,0.4174933333333334,0.7647058823529411,0.3333333333333333,0.75,1.0,0.8141414141414142,1.0,0.537180514866041,4,0.2278766769865841,4,0.7256677090230031,7,0.4969083002918761,2,2,-0.48436872510917905,-1.97511666947378,2.086071961473426,-2.249317877728278,-1.2028870666548783,-0.26075159882900784,-1.8924166546855596,2.702561212252978,-2.129865710463083,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1,1.0,1.0,1.0,1.0,1.0,4.0,1,1.5,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,1.0,0.0,0.3333333333333333,4.0,28.0,6437.5,6.333333333333333,0.3333333333333333,1.0,0,116.0,1.0,1.0,7.0,2.993304608294931,3.632986994367639,1.0,0.3333333333333333,1.0,0.0714285714285714,0.6949868266294685,0.421989201088664,0.1666666666666666,0.0555555555555555,0.1764705882352941,0.8157894736842105,0.485,0.627450980392157,0.3333333333333333,0.75,1.0,0.7656565656565657,0.0,0.547101149786676,4,0.3036205710354317,4,0.5659201256260079,7,0.4722139488160385,2,2,-1.3960529668488084,-1.15531967776497,0.4527090491255361,-0.15705469646522174,-0.15433734604964894,-0.3730656781053879,1.379500217110627,0.2787332292828593,-0.7201314700675778,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
10.1,1.0,1.0,1.0,1.0,1.0,2.0,0,0.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,0.0,2.0,14.0,2525.0,5.5,0.0,1.0,0,78.0,1.0,0.0,7.0,2.993304608294931,3.632986994367639,1.0,0.0,0.0,0.0,0.6949868266294685,0.421989201088664,0.0,0.0,0.0588235294117647,0.8157894736842105,0.798,0.6764705882352942,0.0,0.75,1.0,0.8424242424242424,0.0,0.2792440069295331,4,0.2186532507739938,4,0.5809849758085053,7,0.3596274111706774,1,1,0.9411141600461261,-1.8075313928717816,-0.20954971992703633,-0.0006245817164076622,-0.32511906480852304,-0.2580518386456944,0.6774432439657854,0.04346478264229282,0.775879006209538,"off-farm, single-livelihood, flood-spared (average-LVI)"
10.2,3.0,3.0,1.0,1.0,1.0,3.0,0,0.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,1.0,0.5,3.0,21.0,3833.3333333333335,6.5,0.0,1.0,0,0.0,2.0,1.0,7.0,2.993304608294931,3.632986994367639,0.0,0.0,0.0,0.0,0.6949868266294685,0.421989201088664,0.1666666666666666,0.0833333333333333,0.1176470588235294,0.8157894736842105,0.6933333333333332,0.6176470588235294,0.0,0.75,1.0,1.0,1.0,0.2792440069295331,4,0.295859133126935,4,0.7229971988795517,7,0.4327001129786733,1,1,0.6882285794981681,-1.5856078909182019,0.19344421877361997,0.5915094026579696,-0.3216142902871881,1.7122142452343994,0.27940177073533534,1.0493746794113035,0.24865079817890545,"off-farm, single-livelihood, flood-spared (average-LVI)"
100.1,2.0,2.0,2.0,1.0,1.0,5.0,1,0.6,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,2.0,0.0,0.25,5.0,35.0,2270.0,4.75,0.5,1.0,1,110.0,2.0,2.0,7.0,2.993304608294931,3.632986994367639,0.0,0.5,1.0,0.0285714285714285,0.6949868266294685,0.421989201088664,0.3333333333333333,0.0416666666666666,0.2352941176470588,0.8157894736842105,0.8184,0.7205882352941176,0.5,0.75,0.0,0.7777777777777778,1.0,0.5363868640723902,4,0.3565208978328174,4,0.6523951447245564,7,0.5151009688765881,2,2,-1.931611848830585,-0.6436710264563433,2.1871639002737435,0.8767782570360881,0.6295029401998382,1.7375743169446405,-0.7966132332064353,-0.29675599065336666,0.3799722779445072,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1000,1.0,1.0,1.0,1.0,1.0,4.0,1,1.2222222222222223,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,0.3333333333333333,4.0,28.0,9712.5,11.75,0.0,1.0,0,495.0,1.0,0.0,7.0,2.993304608294931,3.632986994367639,1.0,0.0,1.0,0.0582010582010582,0.6949868266294685,0.421989201088664,0.0,0.0555555555555555,0.1764705882352941,0.8157894736842105,0.223,0.3088235294117647,0.0,0.75,1.0,0.0,0.0,0.5437942714797976,4,0.261953904368765,4,0.3259747899159664,7,0.3772409885881764,2,2,-3.058593036986823,-2.4720340657092845,-1.7996945050820212,-1.2281908438736147,-0.60215818857787,0.2261830821437948,0.9081992585068056,-0.5796354117799863,-2.4861447925053537,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1001,1.0,1.0,1.0,1.0,1.0,6.0,1,1.75,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,1.0,6.0,42.0,2666.6666666666665,3.6666666666666665,0.0,0.0,0,65.0,1.0,0.0,7.0,2.993304608294931,3.632986994367639,1.0,0.0,1.0,0.0833333333333333,0.6949868266294685,0.421989201088664,0.0,0.1666666666666666,0.2941176470588235,0.8157894736842105,0.7866666666666667,0.7843137254901961,0.0,1.0,1.0,0.8686868686868687,0.0,0.5500773402628665,4,0.3191434468524252,4,0.6342381801205331,7,0.5011529890786083,1,2,0.06914049470778161,0.01378187063062335,-0.9293968878321399,-0.24727390580370856,1.2922149299871482,-0.8454144402835021,0.6171808849759761,-0.12463867920385484,-0.29289905261478505,"off-farm, single-livelihood, flood-spared (average-LVI)"
1002,1.0,1.0,1.0,1.0,1.0,5.0,1,2.6,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,1.5,5.0,40.0,6040.0,9.0,0.0,1.0,1,495.0,2.0,0.0,8.0,2.993304608294931,3.632986994367639,0.0,0.0,1.0,0.1238095238095238,0.6949868266294685,0.421989201088664,0.0,0.25,0.2352941176470588,0.7894736842105263,0.5168,0.4705882352941176,0.0,0.75,0.0,0.0,1.0,0.5601963878819141,4,0.3186919504643963,4,0.3910554621848739,7,0.4233146001770615,2,2,-3.3423474110731504,-1.3359021223273513,-0.9412012436669925,-0.8326963808618406,0.9084793352299741,1.786322649721108,-1.6315813248940678,-1.1880783301868683,-2.7108923685890853,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1003,1.0,1.0,1.0,1.0,1.0,4.0,1,2.333333333333333,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,0.0,0.0,0.3333333333333333,4.0,28.0,2125.0,7.75,0.25,1.0,0,192.0,1.0,0.0,7.0,2.993304608294931,3.632986994367639,1.0,0.25,1.0,0.111111111111111,0.6949868266294685,0.421989201088664,0.0,0.0555555555555555,0.1764705882352941,0.8157894736842105,0.83,0.5441176470588235,0.25,0.75,1.0,0.6121212121212121,0.0,0.5570217847073109,4,0.261953904368765,4,0.5694626941685765,7,0.4628127944148841,2,2,-1.0333035400823083,-0.6277857916120341,-0.4495756034731401,-0.9224587146000772,0.7237849306140541,-0.24857607528962622,0.7806897852064111,-0.022271570609835135,-0.09441572492890737,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)"
1005,1.0,1.0,1.0,1.0,1.0,4.0,0,0.0,3.630623655913978,2.8899913978494625,2.459298771121351,3.510221505376344,4.57770752688172,2.8110319508448542,1.0,0.0,0.3333333333333333,4.0,28.0,4050.0,8.666666666666666,0.0,1.0,0,28.0,1.0,1.0,7.0,2.993304608294931,3.632986994367639,1.0,0.0,0.0,0.0,0.6949868266294685,0.421989201088664,0.1666666666666666,0.0555555555555555,0.1764705882352941,0.8157894736842105,0.676,0.4901960784313726,0.0,0.75,1.0,0.9434343434343434,0.0,0.2792440069295331,4,0.3036205710354317,4,0.5513757745522452,7,0.3780801175057366,1,1,-0.0140160735100716,-1.7822318556053005,-0.6876476677831983,0.9284685694120278,-0.49619719952851105,-0.07944450559708494,0.5940015326303437,0.7939745725497304,0.6268280454564815,"off-farm, single-livelihood, flood-spared (average-LVI)"
