variable,normalized_column,dimension,ALL_mean,ALL_sd,C1_mean,C1_sd,C1_median,C2_mean,C2_sd,C2_median,normality_K2,normality_p,anova_F,anova_p,eta2,kruskal_H,kruskal_p,epsilon2,C1_name,C1_n,C2_name,C2_n,primary_test,bonferroni_alpha
LVI,composite,composite,0.46364542928446234,0.06460983053538014,0.45504764116960217,0.06379568390200048,0.4497840518394558,0.4744246425301939,0.06401743644324615,0.4792889456221629,,,127.2409707353513,3.389776096421894e-29,,164.1621873991755,1.3942191407143332e-37,,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
exposure_score,composite,composite,0.45206315644581957,0.14886589171665532,0.38167155819665344,0.1395493621509853,0.3061373871074379,0.5403144645845008,0.10739155967974981,0.5533499727474445,,,2182.928232404227,0.0,,1190.6177520321378,6.673136394973688e-261,,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
sensitivity_score,composite,composite,0.3007522829848011,0.05937220831226388,0.28393474056568985,0.056315195161548835,0.2864422084623323,0.3218367611765136,0.05630661737106124,0.3198013415892673,,,626.7704595336143,3.255680924223292e-131,,633.9673111454358,6.854437145737154e-140,,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
adaptive_capacity_vulnerability_score,composite,composite,0.6381208484227665,0.13902527005710552,0.6995366247464633,0.11669951912781937,0.6774080892963246,0.5611227018295669,0.12582636901204045,0.5659416008827775,,,1815.3342994986922,0.0,,1413.3764026131032,2.604462789686847e-309,,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
flood_affected,flood_affected_norm,Exposure,0.5705619982158787,0.4950401265838939,0.31494547787042976,0.464568662936932,0.0,0.8910333735424206,0.31166000168329927,1.0,45.297029966637076,1.4583941696778876e-10,2814.0786594032606,0.0,0.3343296140234463,1873.5831569873944,0.0,0.33421080795777164,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
flood_depth_ft_mean,flood_depth_ft_mean_norm,Exposure,1.3109572515963408,1.877391929492985,0.5767376924087957,1.0742039743164662,0.0,2.2314625131752575,2.2303900593083696,1.7142857142857142,3642.9925953599673,0.0,1329.5809026610855,2.0852392029571285e-261,0.19178728980295395,1733.4698862282582,0.0,0.30920397755278567,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
seasonal_wind_avg,seasonal_wind_avg_norm,Exposure,2.7817682449060506,0.35676259509707703,2.77372774224093,0.36726854804556325,2.8180225806451618,2.791848778605224,0.34294407734939564,2.8180225806451618,405.22052903666935,1.0173728477213285e-88,3.5709429309871585,0.05885049098533642,0.0006369210284388605,0.21199478329739574,0.6452083859464237,-0.00014063987447842304,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
seasonal_evapotranspiration_avg,seasonal_evapotranspiration_avg_norm,Exposure,3.9000459305270647,0.34953402599906497,3.9235901623035496,0.3405521658522124,3.844968919610855,3.8705280717900004,0.3583682169580613,3.83004418842806,211.1127450511956,1.4369772165907562e-46,32.06022070989678,1.568952398199791e-08,0.005689419359187916,40.69274838191768,1.781470527744039e-10,0.007084195677657983,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
agricultural_occupation_dependence,agricultural_occupation_dependence_norm,Sensitivity,0.4472792149866191,0.6071297492973772,0.11000641436818473,0.3210444735815151,0.0,0.8701246481704865,0.6165621936186046,1.0,1565.812916630965,0.0,3536.848046339015,0.0,0.38697011464602005,2428.849185163567,0.0,0.43331236572614085,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
dependency_ratio,dependency_ratio_norm,Sensitivity,0.8577175282839868,0.8077241880550479,0.9331487929788123,0.8909937025133354,0.6666666666666666,0.763147892852356,0.6776744063209874,0.6,1747.9001450855897,0.0,61.95132510786494,4.1957148896938324e-15,0.010935897160014097,30.07457544115688,4.157462795367236e-08,0.005189108592032283,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
hh_size,hh_size_norm,Sensitivity,4.127921498661909,1.7418762336202718,3.7302758178319437,1.5356068946002674,4.0,4.626457579412947,1.8536540733595557,4.0,1185.2026793437708,4.330202555919587e-258,391.7479144116142,2.4780950325796463e-84,0.0653485217401447,339.21366628175826,9.465001095001318e-76,0.06036296025017995,"off-farm, single-livelihood, flood-spared (average-LVI)",3118,"agriculture-dependent, diversified-livelihood, flood-exposed (average-LVI)",2487,kruskal_wallis,0.0033333333333333335
