model,bin,mean_predicted,observed_fraction
ContextOnlyLogistic,1,0.21758479101368217,0.22105263157894736
ContextOnlyLogistic,2,0.25959804277699056,0.23499142367066894
ContextOnlyLogistic,3,0.2806187033243875,0.29111531190926276
ContextOnlyLogistic,4,0.30104945217600687,0.3398230088495575
ContextOnlyLogistic,5,0.31475168930128217,0.3333333333333333
ContextOnlyLogistic,6,0.32865261680001207,0.41354723707664887
ContextOnlyLogistic,7,0.35428804571007566,0.36106750392464676
ContextOnlyLogistic,8,0.3851528774176715,0.32842105263157895
ContextOnlyLogistic,9,0.43467518411741835,0.38543516873889877
ContextOnlyLogistic,10,0.4968306287655328,0.436036036036036
LogisticRegression,1,0.17468649055310084,0.1711229946524064
LogisticRegression,2,0.24516760901095427,0.23035714285714284
LogisticRegression,3,0.27528856237385013,0.22281639928698752
LogisticRegression,4,0.2999810678872685,0.3053571428571429
LogisticRegression,5,0.3201501998071374,0.34452296819787986
LogisticRegression,6,0.3382271768552166,0.4036036036036036
LogisticRegression,7,0.36175822591458995,0.4013840830449827
LogisticRegression,8,0.39430813749861515,0.4024390243902439
LogisticRegression,9,0.43512094616006725,0.3572778827977316
LogisticRegression,10,0.5031712690850957,0.5044563279857398
PrevalenceBaseline,1,0.33333333333334136,0.32762762762762765
PrevalenceBaseline,2,0.3334076717216745,0.328278322925959
PrevalenceBaseline,3,0.3334082228712596,0.36048526863084923
RandomForest,1,0.20915893123864712,0.15151515151515152
RandomForest,2,0.24987544688886265,0.23487544483985764
RandomForest,3,0.27153216674646663,0.23255813953488372
RandomForest,4,0.28694413317347534,0.2767857142857143
RandomForest,5,0.30987728520143454,0.31216931216931215
RandomForest,6,0.3284590468656218,0.31956912028725315
RandomForest,7,0.35057265312166624,0.39138240574506283
RandomForest,8,0.3868084698827904,0.45811051693404636
RandomForest,9,0.4188441663214368,0.4905008635578584
RandomForest,10,0.4532864833746525,0.477859778597786
XGBoost,1,0.1638184106392444,0.1711229946524064
XGBoost,2,0.20329686177370812,0.17437722419928825
XGBoost,3,0.23910964926970857,0.2517857142857143
XGBoost,4,0.2705813937433688,0.2887700534759358
XGBoost,5,0.2951219866178214,0.31316725978647686
XGBoost,6,0.3259080225421536,0.34946236559139787
XGBoost,7,0.3693589731277848,0.3559928443649374
XGBoost,8,0.42013672200289176,0.4645390070921986
XGBoost,9,0.4678363092563165,0.4974271012006861
XGBoost,10,0.5182928412874168,0.4785046728971963
