feature,measurement_level,used_by_all_feature_models,used_by_context_only_baseline,enters_target
clim_aus_rain_total_mm,district_context,True,True,False
clim_aman_rain_total_mm,district_context,True,True,False
clim_boro_rain_total_mm,district_context,True,True,False
clim_aus_solar_rad_avg,district_context,True,True,False
clim_aman_solar_rad_avg,district_context,True,True,False
clim_boro_solar_rad_avg,district_context,True,True,False
clim_aus_district_yield_ratio,district_context,True,True,False
clim_aman_district_yield_ratio,district_context,True,True,False
clim_boro_district_yield_ratio,district_context,True,True,False
mean_district_yield_ratio,district_context,True,True,False
clim_aus_district_area_ha,district_context,True,True,False
clim_aman_district_area_ha,district_context,True,True,False
clim_boro_district_area_ha,district_context,True,True,False
clim_aus_district_production_mt,district_context,True,True,False
clim_aman_district_production_mt,district_context,True,True,False
clim_boro_district_production_mt,district_context,True,True,False
mean_plot_temperature,plot,True,False,False
max_plot_temperature,plot,True,False,False
mean_plot_humidity,plot,True,False,False
total_plot_rainfall,plot,True,False,False
mean_plot_solar_rad,plot,True,False,False
plot_distance_m_mean,plot,True,False,False
