row_index,integrity_key,climate_profile_group,outer_fold
0,SURROGATE_MISSING_HHID_388f6cc10e1e6aa7,28,3
1,1,28,3
2,10.1,28,3
3,10.2,28,3
4,100.1,28,3
5,1000,28,3
6,1001,28,3
7,1002,28,3
8,1003,28,3
9,1005,28,3
10,1006,28,3
11,1007.1,28,3
12,1007.2,28,3
13,1008,28,3
14,1009,28,3
15,101,28,3
16,1010,28,3
17,1011,28,3
18,1012,28,3
19,1013,28,3
20,1014,28,3
21,1015,28,3
22,1016,28,3
23,1017,28,3
24,1019,28,3
25,102,28,3
26,1020,28,3
27,1021,28,3
28,1022,28,3
29,1023,28,3
30,1024,28,3
31,1025,28,3
32,1027,28,3
33,1028,28,3
34,1029,28,3
35,103,28,3
36,1030,28,3
37,1031,28,3
38,1032,28,3
39,1033,28,3
40,1034,28,3
41,1035.1,28,3
42,1035.2,28,3
43,1035.3,28,3
44,1036,28,3
45,1037,28,3
46,1038,28,3
47,1039,28,3
48,104,28,3
49,1040.1,28,3
50,1040.2,28,3
51,1041,28,3
52,1042,28,3
53,1043,28,3
54,1044,28,3
55,1045,28,3
56,1046,28,3
57,1047,28,3
58,1048,28,3
59,1049,28,3
60,105,28,3
61,1050,28,3
62,1051,28,3
63,1052,28,3
64,1053,28,3
65,1054,28,3
66,1055,28,3
67,1056,28,3
68,1057,28,3
69,1058,28,3
70,1059,28,3
71,106,28,3
72,1061,28,3
73,1062,28,3
74,1063,28,3
75,1064,28,3
76,1065,28,3
77,1066,28,3
78,1067,28,3
79,1068,28,3
80,1069,0,2
81,107,0,2
82,1070,0,2
83,1071,0,2
84,1072,0,2
85,1074,0,2
86,1075,0,2
87,1076,0,2
88,1079.1,0,2
89,1079.2,0,2
90,1079.3,0,2
91,108,0,2
92,1080,0,2
93,1081,0,2
94,1082,0,2
95,1083,0,2
96,1085,0,2
97,1086,0,2
98,1087,35,1
99,1088,35,1
100,1089,35,1
101,109,35,1
102,1090,35,1
103,1091,35,1
104,1092,35,1
105,1093.1,35,1
106,1093.2,35,1
107,1094,35,1
108,1096,35,1
109,1097,35,1
110,1098,35,1
111,1099,35,1
112,11.1,35,1
113,11.2,35,1
114,11.3,35,1
115,110,35,1
116,1100,35,1
117,1101,35,1
118,1102,35,1
119,1103,35,1
120,1105,35,1
121,1106,35,1
122,1107,35,1
123,1108,35,1
124,1109,35,1
125,111,35,1
126,1111,35,1
127,1112,35,1
128,1113,35,1
129,1114,35,1
130,1115,35,1
131,1117,35,1
132,1118,35,1
133,1119,35,1
134,112,35,1
135,1120,35,1
136,1121,35,1
137,1123,35,1
138,1124,35,1
139,1125,35,1
140,1126,35,1
141,1127,35,1
142,1128,35,1
143,1129,35,1
144,113,35,1
145,1130,35,1
146,1131,35,1
147,1132,35,1
148,1133,35,1
149,1134,35,1
150,1135,35,1
151,1136,35,1
152,1137,38,5
153,1138,38,5
154,1139,38,5
155,114,38,5
156,1140,38,5
157,1141,38,5
158,1142,38,5
159,1143.1,38,5
160,1143.2,38,5
161,1144,38,5
162,1145,38,5
163,1146,38,5
164,1147.1,38,5
165,1147.2,38,5
166,1148,38,5
167,1149,38,5
168,1150,38,5
169,1151,38,5
170,1152,38,5
171,1153,38,5
172,1154,38,5
173,1155.1,38,5
174,1155.2,38,5
175,1155.3,38,5
176,1156,38,5
177,1157,38,5
178,1158,38,5
179,1159,38,5
180,116,38,5
181,1160,38,5
182,1161,38,5
183,1162,38,5
184,1163,38,5
185,1165,38,5
186,1166,38,5
187,1167,38,5
188,1168,38,5
189,1169,38,5
190,117,38,5
191,1170,38,5
192,1171,38,5
193,1172,38,5
194,1173,38,5
195,1174,38,5
196,1175,38,5
197,1176,38,5
198,1177,38,5
199,1178,38,5
