n,positive_n,positive_rate,roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,log_loss,calibration_intercept,calibration_slope,tn,fp,fn,tp,fold,model,threshold,target_train_cut,inner_best_auc,inner_threshold_balanced_accuracy,train_n,test_n,train_groups,test_groups
1150,376,0.3269565217391304,0.6226513964484028,0.42143566435898727,0.5260869565217391,0.5918618395733686,0.7819148936170213,0.4018087855297158,0.38837516512549536,0.5189761694616064,0.21151718053525168,0.6121007093511885,-0.023727156630588123,1.0618722092446122,311,463,82,294,1,LogisticRegression,0.31499999999999995,0.4935803357174874,0.6330126942403245,0.5907407407407408,4455,1150,31,8
1150,376,0.3269565217391304,0.6422099208312717,0.436647665809434,0.6060869565217392,0.6068468579910935,0.6090425531914894,0.6046511627906976,0.4280373831775701,0.5027442371020856,0.20845111307006842,0.6045519426613305,0.23965857287404901,1.3628379938676407,468,306,147,229,1,RandomForest,0.32999999999999996,0.4935803357174874,0.6464256301783878,0.60993265993266,4455,1150,31,8
1150,376,0.3269565217391304,0.6526953103524108,0.4373086783241318,0.6452173913043479,0.6147190609709164,0.526595744680851,0.7028423772609819,0.46261682242990654,0.4925373134328358,0.20671339333057404,0.5996106266975403,-0.013610458932816982,0.9906020760536194,544,230,178,198,1,XGBoost,0.3499999999999999,0.4935803357174874,0.6456945495414954,0.6112794612794613,4455,1150,31,8
1150,376,0.3269565217391304,0.5612698609049427,0.38304852172471016,0.3973913043478261,0.5345469789433174,0.9308510638297872,0.13824289405684753,0.344149459193707,0.5025125628140703,0.21779317851069,0.626350648410782,-0.2951403864525234,0.7019819851383392,107,667,26,350,1,ContextOnlyLogistic,0.24999999999999994,0.4935803357174874,0.584784365801854,0.5565656565656566,4455,1150,31,8
1150,376,0.3269565217391304,0.5,0.3269565217391304,0.6730434782608695,0.5,0.0,1.0,0.0,0.0,0.22009661835748792,0.6320940993173291,-0.48771405321840094,0.3380576180235102,774,0,376,0,1,PrevalenceBaseline,0.5,0.4935803357174874,,,4455,1150,31,8
1096,363,0.3312043795620438,0.6626753708485075,0.47348564607629273,0.6085766423357665,0.6135038841847722,0.628099173553719,0.5989085948158254,0.4367816091954023,0.5152542372881356,0.21127680667241547,0.6157420835272408,0.3249212881061824,1.2497028093088265,439,294,135,228,2,LogisticRegression,0.31999999999999995,0.49600021963330787,0.6190264560786051,0.5893213572854291,4509,1096,31,8
1096,363,0.3312043795620438,0.6887390587006114,0.5238263167880327,0.6751824817518248,0.6208870297919039,0.46005509641873277,0.781718963165075,0.5107033639143731,0.48405797101449277,0.20687440010359878,0.6014437620706246,1.1886045180850742,2.4471283388121243,573,160,196,167,2,RandomForest,0.33499999999999996,0.49600021963330787,0.639940235454145,0.6047904191616766,4509,1096,31,8
1096,363,0.3312043795620438,0.6759120411607078,0.5170214186115081,0.6943430656934306,0.6150485382160937,0.38016528925619836,0.849931787175989,0.5564516129032258,0.45171849427168576,0.20407363772392273,0.5953887701034546,0.4039168357849121,1.4255695343017578,623,110,225,138,2,XGBoost,0.4049999999999999,0.49600021963330787,0.6428381929760378,0.6077844311377245,4509,1096,31,8
1096,363,0.3312043795620438,0.6204754978784497,0.41695898039248624,0.5574817518248175,0.6065924030081292,0.7520661157024794,0.461118690313779,0.4086826347305389,0.5295829291949563,0.21586909561987297,0.6215530232003321,1.1652642147017052,2.288478962915993,338,395,90,273,2,ContextOnlyLogistic,0.29,0.49600021963330787,0.5785909784811074,0.5560545575515635,4509,1096,31,8
1096,363,0.3312043795620438,0.5,0.3312043795620438,0.6687956204379562,0.5,0.0,1.0,0.0,0.0,0.22151257096512572,0.635038489990701,-0.47471847139186996,0.3290497670742962,733,0,363,0,2,PrevalenceBaseline,0.5,0.49600021963330787,,,4509,1096,31,8
1121,368,0.328278322925959,0.6351279663952885,0.45938863893461124,0.5896520963425513,0.6021620041572839,0.6385869565217391,0.5657370517928287,0.4181494661921708,0.5053763440860215,0.2109554245034117,0.6111514299413592,0.07487433187997003,1.1537947846252012,426,327,133,235,3,LogisticRegression,0.31999999999999995,0.4983511344463357,0.6172783774214678,0.5863663980861822,4484,1121,32,7
1121,368,0.328278322925959,0.6482926987701368,0.4710277700203828,0.656556645851918,0.623480714821872,0.5271739130434783,0.7197875166002656,0.47901234567901235,0.5019404915912031,0.2088951545766672,0.6070438919350122,0.38367135160178356,1.63341525561415,542,211,174,194,3,RandomForest,0.3549999999999999,0.4983511344463357,0.629070039036637,0.600289355283755,4484,1121,32,7
1121,368,0.328278322925959,0.6621990299670882,0.47013687592281267,0.5851917930419268,0.6071781713724811,0.6711956521739131,0.5431606905710491,0.4179357021996616,0.5151199165797706,0.20460738241672516,0.5967026352882385,0.0251793060451746,1.126536250114441,409,344,121,247,3,XGBoost,0.31499999999999995,0.4983511344463357,0.633125470330513,0.5970927962171216,4484,1121,32,7
1121,368,0.328278322925959,0.5860398983775045,0.3919477057590827,0.4852809991079393,0.5467026820255211,0.7255434782608695,0.36786188579017265,0.35935397039030953,0.48064806480648065,0.21558917149379137,0.6219710042480453,0.007291248614175003,1.0160280699786943,277,476,101,267,3,ContextOnlyLogistic,0.295,0.4983511344463357,0.5745977075123749,0.5607559938279825,4484,1121,32,7
1121,368,0.328278322925959,0.5,0.328278322925959,0.6717216770740411,0.5,0.0,1.0,0.0,0.0,0.2205379758419469,0.6330120054379678,-0.4838125341611573,0.3351914537667379,753,0,368,0,3,PrevalenceBaseline,0.5,0.4983511344463357,,,4484,1121,32,7
1154,416,0.36048526863084923,0.5993459453825307,0.45735911886456926,0.464471403812825,0.5519335001042318,0.8653846153846154,0.23848238482384823,0.39045553145336226,0.5381165919282511,0.22533605883952693,0.6421358440966412,-0.2304914090577492,0.8331391467201876,176,562,56,360,4,LogisticRegression,0.32499999999999996,0.5017219555126676,0.6240608657067828,0.5991504028591232,4451,1154,31,8
