model,metric,point_estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_replicates,resampling_unit
ContextOnlyLogistic,roc_auc,0.5766247006255585,0.5412692215727318,0.6066162677277411,1000,climate_profile
ContextOnlyLogistic,pr_auc,0.39277941394284754,0.3553039297250143,0.42143319502793647,1000,climate_profile
ContextOnlyLogistic,accuracy,0.4863514719000892,0.43592833823658494,0.550122886428829,1000,climate_profile
ContextOnlyLogistic,balanced_accuracy,0.552805361930295,0.5249266529042677,0.5806853283994762,1000,climate_profile
ContextOnlyLogistic,sensitivity,0.7536,0.6113027805794976,0.8613892739097985,1000,climate_profile
ContextOnlyLogistic,specificity,0.3520107238605898,0.21153150126808698,0.5145257469769996,1000,climate_profile
ContextOnlyLogistic,precision,0.3689295039164491,0.33948730732868304,0.3952353244070391,1000,climate_profile
ContextOnlyLogistic,f1,0.4953549517966696,0.4456191825958696,0.5331185148025478,1000,climate_profile
ContextOnlyLogistic,brier,0.21966852684268073,0.20759367951482868,0.2300460491092131,1000,climate_profile
ContextOnlyLogistic,log_loss,0.6304014237594521,0.6046188075926957,0.652202112794277,1000,climate_profile
LogisticRegression,roc_auc,0.6159320822162645,0.5875306174000579,0.6455227865967514,1000,climate_profile
LogisticRegression,pr_auc,0.4267287155504106,0.3827399917581009,0.464128189346969,1000,climate_profile
LogisticRegression,accuracy,0.5644959857270294,0.5184150600602889,0.6169180272563622,1000,climate_profile
LogisticRegression,balanced_accuracy,0.5856579088471849,0.5621894324968673,0.6075911814476264,1000,climate_profile
LogisticRegression,sensitivity,0.6496,0.5114849492440545,0.7674775734537487,1000,climate_profile
LogisticRegression,specificity,0.5217158176943699,0.3916668147409605,0.6642104377598452,1000,climate_profile
LogisticRegression,precision,0.4057295136575616,0.37923762301893216,0.4311118743866536,1000,climate_profile
LogisticRegression,f1,0.4994873897888046,0.44989240816197607,0.5369157566918761,1000,climate_profile
LogisticRegression,brier,0.21495778422579528,0.20239677278984985,0.22533644094126615,1000,climate_profile
LogisticRegression,log_loss,0.6204684293799296,0.5923125280862016,0.6443731894903799,1000,climate_profile
PrevalenceBaseline,roc_auc,0.5121793744414657,0.4770887798974567,0.5447729630032596,1000,climate_profile
PrevalenceBaseline,pr_auc,0.3422638137933279,0.3078222433678246,0.37378020571644366,1000,climate_profile
PrevalenceBaseline,accuracy,0.6654772524531668,0.6368486810814655,0.7003230149955058,1000,climate_profile
PrevalenceBaseline,balanced_accuracy,0.5,0.5,0.5,1000,climate_profile
PrevalenceBaseline,sensitivity,0.0,0.0,0.0,1000,climate_profile
PrevalenceBaseline,specificity,1.0,1.0,1.0,1000,climate_profile
PrevalenceBaseline,precision,0.0,0.0,0.0,1000,climate_profile
PrevalenceBaseline,f1,0.0,0.0,0.0,1000,climate_profile
PrevalenceBaseline,brier,0.22261800889720088,0.21100194630587907,0.2321609606733912,1000,climate_profile
PrevalenceBaseline,log_loss,0.6373370668485552,0.61318200596574,0.6571810933331889,1000,climate_profile
RandomForest,roc_auc,0.6412108668453976,0.6141178901586286,0.6661064816281882,1000,climate_profile
RandomForest,pr_auc,0.44394171346230665,0.4066570697846637,0.48095639444846866,1000,climate_profile
RandomForest,accuracy,0.6244424620874219,0.5891840023762068,0.6649735612143777,1000,climate_profile
RandomForest,balanced_accuracy,0.6093465594280607,0.589541429011897,0.627122776800061,1000,climate_profile
RandomForest,sensitivity,0.5637333333333333,0.49619945424013434,0.632624374574114,1000,climate_profile
RandomForest,specificity,0.6549597855227882,0.567712019893404,0.7342924897976257,1000,climate_profile
RandomForest,precision,0.45093856655290104,0.41227741354539754,0.4935117006963561,1000,climate_profile
RandomForest,f1,0.5010666034605357,0.469651615792854,0.5267798986701254,1000,climate_profile
RandomForest,brier,0.21211889746773,0.19934889048384535,0.22246237089030493,1000,climate_profile
RandomForest,log_loss,0.6131963965826144,0.5858541894343382,0.6356926870199503,1000,climate_profile
XGBoost,roc_auc,0.6443245755138516,0.6188688498664396,0.6687155131879755,1000,climate_profile
XGBoost,pr_auc,0.44793571751546196,0.41073601326647663,0.48012709324088987,1000,climate_profile
XGBoost,accuracy,0.6151650312221231,0.5804305877146284,0.6502433345554163,1000,climate_profile
XGBoost,balanced_accuracy,0.6011824843610366,0.5806211922677446,0.6199431794229943,1000,climate_profile
XGBoost,sensitivity,0.5589333333333333,0.498816694131788,0.627216795377833,1000,climate_profile
XGBoost,specificity,0.6434316353887399,0.5619523020730458,0.7159670350168078,1000,climate_profile
XGBoost,precision,0.44070647603027757,0.40046436863725665,0.483260896837713,1000,climate_profile
XGBoost,f1,0.49282859158241243,0.4587194022005328,0.5213070313920085,1000,climate_profile
XGBoost,brier,0.2103256883811203,0.19778636628376792,0.22087376655780774,1000,climate_profile
XGBoost,log_loss,0.6088627770967107,0.58101205577156,0.6321073825636138,1000,climate_profile
