scheme,replicate,k,bootstrap_n,n_components,ari_vs_baseline,matched_jaccard_vs_baseline,silhouette
household_bootstrap,1,2,5605,9,0.9695394622843396,0.9846042275235314,0.14722410809440062
household_bootstrap,1,3,5605,9,0.23616925754272122,0.3668565988677126,0.12878413560672392
household_bootstrap,1,4,5605,9,0.9578458133468769,0.9628505015977533,0.12439687435084716
household_bootstrap,1,5,5605,9,0.9180482734554203,0.918306903997183,0.12731985115416508
household_bootstrap,1,6,5605,9,0.7085036997199367,0.6517227775857783,0.12329829471572754
household_bootstrap,1,7,5605,9,0.35806756675495255,0.43788365648763944,0.11797391629906523
household_bootstrap,1,8,5605,9,0.6158084438158387,0.6465948108865839,0.122050776073263
household_bootstrap,2,2,5605,9,0.9632201752191525,0.9813437445695534,0.1499819793626367
household_bootstrap,2,3,5605,9,0.9705956705605084,0.9770105027608439,0.13502694046332636
household_bootstrap,2,4,5605,9,0.44687799350951707,0.6119197529093497,0.12769403549077127
household_bootstrap,2,5,5605,9,0.8899702688133676,0.9076272889015303,0.1187649911591924
household_bootstrap,2,6,5605,9,0.9164980729048505,0.9024028949972758,0.1225868397380365
household_bootstrap,2,7,5605,9,0.6019445205999246,0.6255110498582546,0.1173714558765316
household_bootstrap,2,8,5605,9,0.6167717618815758,0.6539562775417782,0.12583472027629805
household_bootstrap,3,2,5605,9,0.9786973825504693,0.9892046168606451,0.15347189505635817
household_bootstrap,3,3,5605,9,0.8811580883768448,0.906330905929432,0.1200821482656323
household_bootstrap,3,4,5605,9,0.9217098856435604,0.9305698042902002,0.1138793478907733
household_bootstrap,3,5,5605,9,0.8823503601020687,0.8990228083081016,0.11647929637994034
household_bootstrap,3,6,5605,9,0.6784572493543287,0.6287723215814333,0.12145595156539153
household_bootstrap,3,7,5605,9,0.5197886837973781,0.5108112963668437,0.12428923521951903
household_bootstrap,3,8,5605,9,0.9610470353652759,0.9469715865469667,0.1242468950142933
household_bootstrap,4,2,5605,9,0.9758752084748885,0.9877911452021186,0.1582830956536459
household_bootstrap,4,3,5605,9,0.9601922911995951,0.969946930092561,0.12885617244898012
household_bootstrap,4,4,5605,9,0.8698266477507846,0.881960504436857,0.12387768499707687
household_bootstrap,4,5,5605,9,0.9001515175542729,0.906237081147685,0.11898761225311094
household_bootstrap,4,6,5605,9,0.661972233148884,0.6134081595395225,0.11850051125819104
household_bootstrap,4,7,5605,9,0.6910189735831894,0.7383629019139003,0.11331848464690819
household_bootstrap,4,8,5605,9,0.8947981317495296,0.9085085745300336,0.11958176629384314
household_bootstrap,5,2,5605,9,0.9285024900257397,0.9636972871842844,0.15551793235499733
household_bootstrap,5,3,5605,9,0.23301633529617463,0.3701775229691288,0.13359344226722827
household_bootstrap,5,4,5605,9,0.9275200211293365,0.9260446159704754,0.1303648207711306
household_bootstrap,5,5,5605,9,0.8114048406418384,0.8289926508043617,0.12679809129871256
household_bootstrap,5,6,5605,9,0.5878305660232841,0.5604072727349605,0.12344856523384251
household_bootstrap,5,7,5605,9,0.6445277427668452,0.7112728840597141,0.12806568173606508
household_bootstrap,5,8,5605,9,0.8215540711191577,0.8610304134216041,0.13479393858027314
household_bootstrap,6,2,5605,9,0.9850647817095765,0.9924446712505373,0.15596512855962247
household_bootstrap,6,3,5605,9,0.23226362309096915,0.3633513059055106,0.1291562290522225
household_bootstrap,6,4,5605,9,0.390201941932168,0.5472741827472778,0.13097139163195576
household_bootstrap,6,5,5605,9,0.936523227069608,0.9427541986756557,0.13388024721803804
household_bootstrap,6,6,5605,9,0.5982226174771333,0.5810249619604396,0.13455185522082588
household_bootstrap,6,7,5605,9,0.6489331094108473,0.7048618499162755,0.137823555175465
household_bootstrap,6,8,5605,9,0.8569561898799389,0.8497743711589347,0.13946301627010166
household_bootstrap,7,2,5605,9,0.9527400587404695,0.9760548797577209,0.14843894777257535
household_bootstrap,7,3,5605,9,0.9807179177293603,0.9853025459260968,0.13320224244338819
household_bootstrap,7,4,5605,9,0.9597588701192423,0.9643957229950064,0.12584754625568031
household_bootstrap,7,5,5605,9,0.8812600183238619,0.8900320964427184,0.12559081191068072
household_bootstrap,7,6,5605,9,0.929280947134741,0.9318044912456694,0.12641841591156006
household_bootstrap,7,7,5605,9,0.8977112800186463,0.9103689890936677,0.12284382313113792
household_bootstrap,7,8,5605,9,0.8977059871255615,0.9087447805733816,0.12476942856764232
household_bootstrap,8,2,5605,9,0.9569273503392294,0.9782088134683613,0.15163922789634726
household_bootstrap,8,3,5605,9,0.9652168492155967,0.9750467425681574,0.12494388732433592
household_bootstrap,8,4,5605,9,0.3798768770775015,0.5489415540884318,0.12287556070446065
household_bootstrap,8,5,5605,9,0.8556361195028013,0.878949983465181,0.11891156176241123
household_bootstrap,8,6,5605,9,0.7158083195638824,0.6544623598960734,0.11767003849145376
household_bootstrap,8,7,5605,9,0.5842863680240368,0.6373203063953854,0.12054467736632903
household_bootstrap,8,8,5605,9,0.5874695125217108,0.625089840421502,0.1259929507293697
household_bootstrap,9,2,5605,9,0.9319452365915325,0.9654410250411888,0.15511973592631573
household_bootstrap,9,3,5605,9,0.8895065164061621,0.9126239801558643,0.12706929151191582
household_bootstrap,9,4,5605,9,0.8920578817938082,0.9147848208943825,0.12342532327040709
household_bootstrap,9,5,5605,9,0.9260900151899006,0.9332227981594752,0.12464035153926381
household_bootstrap,9,6,5605,9,0.719463080513314,0.6557929494316715,0.11974374788482556
household_bootstrap,9,7,5605,9,0.6083309294548767,0.6606292472367388,0.13043917535224367
household_bootstrap,9,8,5605,9,0.8777248695530444,0.8288708329310226,0.1252346146028446
household_bootstrap,10,2,5605,9,0.9716472703702743,0.985628727270413,0.15221577681756746
household_bootstrap,10,3,5605,9,0.9500819125425495,0.9611802823633888,0.13539502669732184
household_bootstrap,10,4,5605,9,0.3972634702691224,0.565241821246905,0.1268819295423256
household_bootstrap,10,5,5605,9,0.9308977721542512,0.9406214105419469,0.12751253714369282
household_bootstrap,10,6,5605,9,0.7285707219318938,0.661008072046262,0.12256229431400872
household_bootstrap,10,7,5605,9,0.4770737803684207,0.4786679059255401,0.12305307123216196
household_bootstrap,10,8,5605,9,0.7401766932126795,0.7076623137300518,0.12236787860270971
household_bootstrap,11,2,5605,9,0.973760917257561,0.986725848852188,0.14762207725062643
household_bootstrap,11,3,5605,9,0.9188673674913516,0.9370916740366177,0.12770536924421028
household_bootstrap,11,4,5605,9,0.3845386714114848,0.5481670861186269,0.13198464642757501
household_bootstrap,11,5,5605,9,0.9133043475861556,0.9246717502279116,0.1276868429555003
household_bootstrap,11,6,5605,9,0.688932101864029,0.636778555451196,0.12152444552760773
household_bootstrap,11,7,5605,9,0.7218346400546944,0.7545317556716805,0.12384606824393551
household_bootstrap,11,8,5605,9,0.6518745198228031,0.6807101835006744,0.12536179498847558
household_bootstrap,12,2,5605,9,0.9702403330320445,0.9849156583472364,0.14585005591411904
household_bootstrap,12,3,5605,9,0.972897740434356,0.9813737392900924,0.1345614711047543
household_bootstrap,12,4,5605,9,0.924702154608162,0.940632210275221,0.1289429056648865
household_bootstrap,12,5,5605,9,0.9520500889229168,0.9556493793321748,0.12459147672696644
household_bootstrap,12,6,5605,9,0.9110004605300513,0.9182589905279602,0.12467845242288311
