method,sample,n,k,n_components,ari_vs_baseline,matched_jaccard_vs_baseline,silhouette
remove_flood_affected,all,5605,2,9.0,0.6707597001343999,0.8316825961034983,0.14264390302212912
remove_flood_affected,all,5605,3,9.0,0.21062902619318696,0.3845398109404443,0.1278258266387357
remove_flood_affected,all,5605,4,9.0,0.3396281460785735,0.5094091707422549,0.1279580109409527
remove_flood_affected,all,5605,5,9.0,0.3803619832991661,0.5822180229111027,0.12390750418079531
remove_flood_affected,all,5605,6,9.0,0.32437502603348994,0.41944477832752475,0.12731826706946434
remove_flood_affected,all,5605,7,9.0,0.35944327872975096,0.5283328440416428,0.13199621211477322
remove_flood_affected,all,5605,8,9.0,0.4982743444200332,0.6176454184208298,0.13890837569491254
remove_flood_depth,all,5605,2,9.0,0.8171652287700447,0.9070674574421034,0.14664292063316908
remove_flood_depth,all,5605,3,9.0,0.232352490700754,0.3822718873843845,0.13260107879062644
remove_flood_depth,all,5605,4,9.0,0.3367749987393751,0.5047684433315172,0.12952811272967568
remove_flood_depth,all,5605,5,9.0,0.4033963096046542,0.5641726465154464,0.12378300524606144
remove_flood_depth,all,5605,6,9.0,0.29261685081479294,0.38041799052695363,0.1277511275172111
remove_flood_depth,all,5605,7,9.0,0.31230186969915286,0.4889490397154039,0.1300706730067555
remove_flood_depth,all,5605,8,9.0,0.48926233084038934,0.6174228947585234,0.13502915093488482
robust_scaler,all,5605,2,6.0,-0.002465186588108604,0.29536240815815573,0.514012254416632
robust_scaler,all,5605,3,6.0,0.0002738747597817631,0.16645106485844244,0.34372772146418573
robust_scaler,all,5605,4,6.0,0.01076956763883928,0.16419414029274548,0.1941707111084869
robust_scaler,all,5605,5,6.0,0.052435624951527704,0.14161566686960275,0.1957418437306192
robust_scaler,all,5605,6,6.0,0.09955836444955289,0.20893669786527036,0.18298142662874195
robust_scaler,all,5605,7,6.0,0.2072640867224852,0.302264505934711,0.17305520464405424
robust_scaler,all,5605,8,6.0,0.11602237522519868,0.21810517417521597,0.17518387965408994
gower_average_hierarchical,fixed_random_1500,1500,2,,0.00029628884750821077,0.27592419637783216,0.2968474864918073
gower_average_hierarchical,fixed_random_1500,1500,3,,0.0005048222935344576,0.134101878708374,0.19761895297760196
gower_average_hierarchical,fixed_random_1500,1500,4,,-0.0005372617763676872,0.08949767547934832,0.14973371230555638
gower_average_hierarchical,fixed_random_1500,1500,5,,0.0036955747635353904,0.06631657866696582,0.12064412133346389
gower_average_hierarchical,fixed_random_1500,1500,6,,0.31645542080253686,0.18739425835426818,0.2366537504761033
gower_average_hierarchical,fixed_random_1500,1500,7,,0.2611976732186733,0.15618660996201794,0.2685021338446048
gower_average_hierarchical,fixed_random_1500,1500,8,,0.23453716868559304,0.13262779512723133,0.25606793553783763
