row_index,split,features,fold,group,label,probability
1,household_random,nonoverlapping,1,28,0,0.19233646989247347
2,household_random,nonoverlapping,1,28,0,0.23523216062679
7,household_random,nonoverlapping,1,28,0,0.2078615006741188
8,household_random,nonoverlapping,1,28,0,0.22604145849646623
9,household_random,nonoverlapping,1,28,0,0.2980124448357048
19,household_random,nonoverlapping,1,28,0,0.12808425103515506
22,household_random,nonoverlapping,1,28,0,0.38599216079952203
25,household_random,nonoverlapping,1,28,1,0.2916744208077434
32,household_random,nonoverlapping,1,28,1,0.2916744208077434
37,household_random,nonoverlapping,1,28,0,0.2285442888121723
39,household_random,nonoverlapping,1,28,0,0.2916744208077434
44,household_random,nonoverlapping,1,28,0,0.2460267165934405
50,household_random,nonoverlapping,1,28,0,0.24658719338547253
55,household_random,nonoverlapping,1,28,0,0.2904648908062145
64,household_random,nonoverlapping,1,28,0,0.2830969820920589
68,household_random,nonoverlapping,1,28,0,0.23412974869808012
69,household_random,nonoverlapping,1,28,0,0.2916744208077434
73,household_random,nonoverlapping,1,28,0,0.30541517843544574
75,household_random,nonoverlapping,1,28,0,0.2916744208077434
81,household_random,nonoverlapping,1,0,0,0.48812705684772856
83,household_random,nonoverlapping,1,0,1,0.48812705684772856
94,household_random,nonoverlapping,1,0,1,0.44232323064675416
95,household_random,nonoverlapping,1,0,0,0.4874053761483698
96,household_random,nonoverlapping,1,0,0,0.48812705684772856
102,household_random,nonoverlapping,1,35,0,0.29341602947570017
105,household_random,nonoverlapping,1,35,0,0.357835761280247
111,household_random,nonoverlapping,1,35,0,0.28690294150103696
115,household_random,nonoverlapping,1,35,0,0.37290372540046746
116,household_random,nonoverlapping,1,35,0,0.3449990992567643
117,household_random,nonoverlapping,1,35,0,0.3648346249752337
120,household_random,nonoverlapping,1,35,0,0.36617435141334054
123,household_random,nonoverlapping,1,35,0,0.36116120901903315
126,household_random,nonoverlapping,1,35,0,0.3528732220560743
134,household_random,nonoverlapping,1,35,0,0.347942214955914
135,household_random,nonoverlapping,1,35,1,0.3463057000838767
148,household_random,nonoverlapping,1,35,0,0.308036503619185
159,household_random,nonoverlapping,1,38,0,0.365201772969473
161,household_random,nonoverlapping,1,38,0,0.37748480892176994
169,household_random,nonoverlapping,1,38,0,0.3450092772708452
176,household_random,nonoverlapping,1,38,0,0.37748480892176994
178,household_random,nonoverlapping,1,38,0,0.37748480892176994
